,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
185,日茂南投,5.0,2.0,3.0,108.0,108.0,聯邦大業,0.0,5.0,-5.0,,107.2
186,日盛土城,5.0,2.0,3.0,107.5,107.0,中銀豐原,3.0,8.0,-5.0,107.17,107.31
187,第一忠孝,5.0,2.0,3.0,107.2,107.0,第一華江,15.0,20.0,-5.0,107.13,107.0
188,元大發財,11.0,8.01,2.99,107.0,106.94,元大鹿港,3.0,8.0,-5.0,107.67,107.25
189,元大三重,3.0,0.02,2.98,107.17,107.5,日盛豐原,0.0,5.0,-5.0,,106.84
190,凱基科園,3.02,0.05,2.97,107.33,107.5,元大民生,1.0,6.0,-5.0,108.0,107.42
191,元大基隆,4.01,1.05,2.96,107.0,107.02,兆豐忠孝,2.0,7.0,-5.0,107.0,107.29
192,富邦台北,18.2,15.25,2.95,107.22,107.39,凱基虎尾,2.0,7.0,-5.0,107.0,107.07
193,統一三多,5.0,2.1,2.9,107.5,107.02,凱基雙和,2.0,7.0,-5.0,107.5,107.21
194,元富信義,4.0,1.1,2.9,107.12,107.0,兆豐彰化,2.0,7.0,-5.0,107.25,107.29
195,華南南京,8.07,5.31,2.76,107.62,107.42,第一中壢,6.01,11.0,-4.99,107.42,107.5
196,元富永和,3.7,1.0,2.7,107.23,107.5,凱基苗栗,1.01,6.0,-4.99,107.0,107.5
197,元大西屯,3.61,1.0,2.61,107.08,107.5,華南敦南,1.02,6.0,-4.98,107.0,107.42
198,富邦中壢,7.64,5.1,2.54,107.21,107.6,元大路竹,8.28,13.2,-4.92,107.0,106.97
199,元大長庚,21.5,19.01,2.49,107.05,107.03,彰銀台中,1.1,6.0,-4.9,106.95,107.58
200,元大中壢,19.86,17.6,2.26,107.76,107.37,元富大昌,15.14,20.0,-4.86,107.24,107.1
201,康和新竹,2.25,0.0,2.25,107.0,,合庫自強,5.0,9.3,-4.3,107.2,107.05
202,華南世貿,8.21,6.0,2.21,107.07,107.42,台新台南,7.01,11.2,-4.19,107.5,107.0
203,元大承德,6.15,4.0,2.15,107.0,106.88,玉山士林,5.03,9.1,-4.07,107.0,107.34
204,元大沙鹿,7.15,5.0,2.15,107.35,107.0,凱基桃園,9.95,14.01,-4.06,107.43,107.0
