序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
619,光和嘉義,107.50,0,5000,,620,光和嘉義,108.00,2000,0 
621,光和高雄,107.00,0,1000,,622,光和高雄,107.50,0,1000 
623,永全,106.50,0,1000,,624,永全,107.00,5000,2000 
625,永全,107.50,3000,0,,626,永全南崁,107.00,2000,3000 
627,永全八德,107.00,1000,0,,628,永全八德,107.50,0,1000 
629,大昌,107.00,3000,2000,,630,大昌,107.50,5000,0 
631,大昌,108.00,0,1000,,632,大昌樹林,106.50,0,1000 
633,大昌樹林,107.00,1020,8300,,634,大昌安康,107.00,6000,1000 
635,大昌安康,107.50,1000,0,,636,大昌安康,108.00,1000,0 
637,大昌新竹,107.50,0,1100,,638,大昌新店,107.00,8000,18700 
639,大昌新店,107.50,2000,3000,,640,大昌桃園,107.00,13000,3000 
641,大昌桃園,107.50,4000,0,,642,大昌桃園,108.00,0,13000 
643,口袋,107.50,1000,0,,644,德信,107.50,0,1000 
645,德信中正,107.00,10000,1000,,646,德信中正,107.50,0,5984 
647,德信中正,108.00,1000,0,,648,德信新營,107.00,1000,0 
649,德信新營,107.50,0,2000,,650,德信新營,108.00,0,1000 
651,福勝,107.00,3000,3000,,652,福勝,107.50,4000,0 
653,兆豐,107.00,221000,414000,,654,兆豐,107.50,1000,0 
655,兆豐,108.00,6000,16000,,656,兆豐嘉義,107.00,2000,17000 
657,兆豐嘉義,107.50,1100,1000,,658,兆豐台中,107.00,0,2448 
659,兆豐台中,107.50,0,2500,,660,兆豐台中,108.00,0,1000 
661,兆豐中港,106.50,4000,0,,662,兆豐中港,107.00,24060,550 
663,兆豐中港,107.50,9000,9000,,664,兆豐中港,108.00,1000,2000 
665,兆豐台南,106.50,1000,0,,666,兆豐台南,107.00,15000,0 
667,兆豐台南,107.50,11000,1000,,668,兆豐台南,108.00,15000,0 
669,兆豐竹北,107.00,0,100,,670,兆豐竹北,107.50,0,9000 
671,兆豐三重,106.50,10000,0,,672,兆豐三重,107.00,110000,11000 
673,兆豐三重,107.50,10000,110000,,674,兆豐三重,108.00,0,10000 
675,兆豐景美,107.00,1000,3000,,676,兆豐景美,107.50,0,1000 
677,兆豐景美,108.00,1000,0,,678,兆豐忠孝,107.00,2000,3000 
679,兆豐忠孝,107.50,0,4000,,680,兆豐中壢,107.00,400,1000 
681,兆豐中壢,108.00,2000,0,,682,兆豐板橋,106.50,0,6000 
683,兆豐板橋,107.00,0,35000,,684,兆豐板橋,107.50,0,4000 
685,兆豐民生,107.00,1000,0,,686,兆豐民生,107.50,140,0 
687,兆豐來福,107.00,1100,9000,,688,兆豐來福,107.50,9000,1100 
689,兆豐來福,108.00,0,2000,,690,兆豐彰化,107.00,1000,3000 
691,兆豐彰化,107.50,1000,4000,,692,兆豐西螺,107.00,0,12000 
693,兆豐西螺,107.50,0,1000,,694,兆豐鹿港,107.00,14000,15100 
695,兆豐鹿港,107.50,3000,7000,,696,兆豐鹿港,108.00,3000,0 
697,兆豐虎尾,107.00,0,1000,,698,兆豐南門,107.00,31000,0 
699,兆豐南門,107.50,2000,0,,700,兆豐麻豆,107.00,1000,1000 
701,兆豐三民,107.00,1001,200,,702,兆豐三民,107.50,0,400 
703,兆豐東門,107.00,0,3000,,704,兆豐東門,107.50,1000,2000 
705,兆豐松德,106.50,0,1000,,706,兆豐松德,107.00,0,450 
707,兆豐北高,106.50,1000,0,,708,兆豐北高,107.00,7000,5000 
709,兆豐北高,107.50,1000,6100,,710,兆豐大安,106.50,1000,0 
711,兆豐大安,107.00,542000,0,,712,兆豐大安,107.50,1000,541050 
713,兆豐大安,108.00,14000,1000,,714,兆豐公益,107.00,3020,6000 
715,兆豐公益,107.50,5000,1000,,716,兆豐員林,106.50,1000,2000 
717,兆豐員林,107.00,13000,0,,718,兆豐員林,107.50,0,1000 
719,兆豐員林,108.00,0,2000,,720,兆豐新營,106.50,0,2000 
721,兆豐新營,107.00,4000,1000,,722,兆豐新營,107.50,500,1000 
